psg_id,passage,persona,query_style,query,method,critique,score
209,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

8.   This Regulation does not apply to any research, testing or development activity regarding AI systems or AI models prior to their being placed on the market or put into service. Such activities shall be conducted in accordance with applicable Union law. Testing in real world conditions shall not be covered by that exclusion.",A healthcare professional working with diagnostic technologies at a major hospital,Simple direct question with basic vocabulary,"Does the EU's AI Act apply to AI systems that are still in the research and testing phase, like diagnostic technologies we're working on?",few-shot,"The query is relevant as it addresses the applicability of the AI Act, specific to AI systems in the research phase, which aligns with passage content about the scope of the regulation. It is specific and answerable, focusing on the exclusion mentioned for research activities. Additionally, the query is realistic for a healthcare professional working with AI in diagnostics. However, it slightly mirrors the passage content and could be more user-oriented, preventing it from being awarded maximum points.",4
209,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

8.   This Regulation does not apply to any research, testing or development activity regarding AI systems or AI models prior to their being placed on the market or put into service. Such activities shall be conducted in accordance with applicable Union law. Testing in real world conditions shall not be covered by that exclusion.",A software developer specializing in machine learning applications,Academic/research-oriented inquiry with formal language,"Could you clarify how the EU AI Act distinguishes between pre-market research activities and testing in real world conditions, specifically regarding regulatory compliance?",few-shot,"The query is relevant to the passage as it asks about pre-market research activities versus real-world testing, which relates directly to the content. It is specific, focusing on the distinction regarding regulatory compliance here. The query is largely answerable since the passage remarks on the exclusion of pre-market activities from the regulation. The language used is appropriate for an academic or research-oriented inquiry. Finally, the query is user-oriented and original as it seeks a clarification that a user would naturally be curious about without merely rephrasing the passage.",5
210,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

9.   This Regulation is without prejudice to the rules laid down by other Union legal acts related to consumer protection and product safety.",A journalist who covers technology trends for a mainstream news outlet,Academic/research-oriented inquiry with formal language,How does the AI Act interact with existing EU consumer protection and product safety laws?,few-shot,"The query is relevant as it pertains to how the AI Act aligns with EU consumer protection and product safety laws as mentioned in the passage. It is specific, focusing on the interaction between the AI Act and existing EU laws. The query is answerable since the passage states that the Regulation does not affect these existing laws, implying a non-interference principle. The query is realistic and uses an appropriate academic tone fitting the journalist persona. It is user-oriented and original, as it poses a natural question that goes beyond merely restating the information.",5
210,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

9.   This Regulation is without prejudice to the rules laid down by other Union legal acts related to consumer protection and product safety.",A privacy advocate with a background in civil liberties and digital rights,Technical language with domain-specific terminology,How does the AI Act interact with existing EU consumer protection and product safety regulations?,zero-shot,"The query is relevant as it directly relates to the interaction between the AI Act and existing regulations, specific by focusing on consumer protection and product safety, realistic with technical language fitting the privacy advocate persona, and user-oriented as it reflects a natural inquiry not restating the passage. However, the passage does not provide enough context to fully answer this question, reducing its answerability.",4
211,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

10.   This Regulation does not apply to obligations of deployers who are natural persons using AI systems in the course of a purely personal non-professional activity.",A legal consultant who specializes in technology and intellectual property law,Simple direct question with basic vocabulary,Does the AI Act apply to individuals using AI systems for personal use?,few-shot,"The query is relevant as it pertains to the scope of the AI Act relating to personal use of AI systems, specific as it focuses on the particular exemption for personal use, answerable since the passage clearly states such use is excluded, realistic due to the straightforward language fitting a legal consultant's inquiry, and user-oriented while not overly mimicking the passage text.",5
211,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

10.   This Regulation does not apply to obligations of deployers who are natural persons using AI systems in the course of a purely personal non-professional activity.",A municipal government official responsible for digital transformation initiatives,Technical language with domain-specific terminology,"How does the scope of the EU AI Act exclude obligations for natural persons using AI for personal purposes, and what implications does this have for municipal government digital initiatives?",zero-shot,"The query is relevant as it addresses the exclusion outlined in Article 2 regarding natural persons using AI for personal purposes. It is specific, focusing on the scope exclusion and its implications for municipal government initiatives. The query is answerable since the passage directly mentions the scope exclusion, although it does not specifically discuss municipal implications, making it partially answerable. It uses realistic language and terminology that a government official might use. Finally, it is user-oriented and original, as it connects the exclusion to a practical scenario in municipal governance rather than just reiterating the passage content.",4
212,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

11.   This Regulation does not preclude the Union or Member States from maintaining or introducing laws, regulations or administrative provisions which are more favourable to workers in terms of protecting their rights in respect of the use of AI systems by employers, or from encouraging or allowing the application of collective agreements which are more favourable to workers.",A software developer specializing in machine learning applications,Simple direct question with basic vocabulary,Can EU countries create their own AI laws that offer better worker protection?,zero-shot,"The query is relevant as it directly pertains to the EU AI Act's provision on Member States' ability to implement more favorable worker protections. It is specific, focusing on the aspect of creating laws for better worker protection. The passage confirms the query's answerability by stating that Member States can introduce more favorable provisions. The query is realistic and uses appropriate vocabulary for a software developer. It is user-oriented and original, as it frames a natural question about the legislation's implications for workers.",5
212,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

11.   This Regulation does not preclude the Union or Member States from maintaining or introducing laws, regulations or administrative provisions which are more favourable to workers in terms of protecting their rights in respect of the use of AI systems by employers, or from encouraging or allowing the application of collective agreements which are more favourable to workers.",A university student majoring in computer science with an interest in ethics,Informal conversational question,Are there any rules that let EU countries have stricter laws to protect workers from AI used by employers?,zero-shot,"The query is relevant and specific to the passage content as it asks about EU countries having stricter laws to protect workers from AI, aligning with the passage's focus on employment and worker protection. It is answerable as the passage provides clear information about the EU's stance on Member States enacting more favorable laws for workers. The language is informal, suitable for a university student, making it realistic. Additionally, it's user-oriented, reflecting a genuine informational need, and original, not simply paraphrasing the passage.",5
213,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

12.   This Regulation does not apply to AI systems released under free and open-source licences, unless they are placed on the market or put into service as high-risk AI systems or as an AI system that falls under Article 5 or 50.",A small business owner who develops software solutions for local retail stores,Informal conversational question,"If I'm developing open-source AI software, do these EU rules still apply to me if my AI isn't high-risk?",few-shot,"The query is relevant as it pertains to the passage's content about open-source AI and EU regulations. It is specific, focusing on the application of the rules to open-source software. The passage does provide enough information to answer whether the rules apply to non-high-risk AI. The informal and conversational style aligns well with the persona of a small business owner. Additionally, the query is user-oriented and original, framing the passage information in a practical question relevant to users.",5
213,"Chapter I - GENERAL PROVISIONS

Article 2 - Scope

12.   This Regulation does not apply to AI systems released under free and open-source licences, unless they are placed on the market or put into service as high-risk AI systems or as an AI system that falls under Article 5 or 50.",A university student majoring in computer science with an interest in ethics,Technical language with domain-specific terminology,"How does the EU's AI Act apply to open-source AI projects, and under what circumstances could they be classified as high-risk systems?",zero-shot,"The query is relevant as it asks about the application of the EU AI Act to open-source AI, which is addressed in the passage. It is specific, focusing solely on open-source AI and its classification as high-risk. The query is answerable since the passage provides details about when open-source AI might be regulated. It is realistic given the persona, as a computer science student would likely use this style and level of technical language. Lastly, the query successfully represents something a user would naturally ask without simply rephrasing the passage.",5
214,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

For the purposes of this Regulation, the following definitions apply: (1) ‘AI system’ means a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments; (2) ‘risk’ means the combination of the probability of an occurrence of harm and the severity of that harm; (3) ‘provider’ means a natural or legal person, public authority, agency or other body that develops an AI system or a general-purpose AI model or that has an AI system or a general-purpose AI model developed and places it on the market or puts the AI system into service under its own name or trademark, whether for payment or free of charge; (4) ‘deployer’ means a natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity; (5) ‘authorised representative’ means a natural or legal person located or established in the Union who has received and accepted a written mandate from a provider of an AI system or a general-purpose AI model to, respectively, perform and carry out on its behalf the obligations and procedures established by this Regulation; (6) ‘importer’ means a natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established in a third country; (7) ‘distributor’ means a natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market; (8) ‘operator’ means a provider, product manufacturer, deployer, authorised representative, importer or distributor; (9) ‘placing on the market’ means the first making available of an AI system or a general-purpose AI model on the Union market; (10) ‘making available on the market’ means the supply of an AI system or a general-purpose AI model for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge; (11) ‘putting into service’ means the supply of an AI system for first use directly to the",A municipal government official responsible for digital transformation initiatives,Search engine keyword query without full sentence structure,AI system deployer definition EU AI Act,zero-shot,"The query is relevant, specific, and answerable as it precisely seeks the definition of a deployer within the context of the AI Act. It uses appropriate terminology for the persona and is a realistic search engine style query.",5
214,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

For the purposes of this Regulation, the following definitions apply: (1) ‘AI system’ means a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments; (2) ‘risk’ means the combination of the probability of an occurrence of harm and the severity of that harm; (3) ‘provider’ means a natural or legal person, public authority, agency or other body that develops an AI system or a general-purpose AI model or that has an AI system or a general-purpose AI model developed and places it on the market or puts the AI system into service under its own name or trademark, whether for payment or free of charge; (4) ‘deployer’ means a natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity; (5) ‘authorised representative’ means a natural or legal person located or established in the Union who has received and accepted a written mandate from a provider of an AI system or a general-purpose AI model to, respectively, perform and carry out on its behalf the obligations and procedures established by this Regulation; (6) ‘importer’ means a natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established in a third country; (7) ‘distributor’ means a natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market; (8) ‘operator’ means a provider, product manufacturer, deployer, authorised representative, importer or distributor; (9) ‘placing on the market’ means the first making available of an AI system or a general-purpose AI model on the Union market; (10) ‘making available on the market’ means the supply of an AI system or a general-purpose AI model for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge; (11) ‘putting into service’ means the supply of an AI system for first use directly to the",A privacy advocate with a background in civil liberties and digital rights,Informal conversational question,How does the AI Act define who's responsible for an AI system once it's on the market?,zero-shot,"The query is relevant as it seeks information directly addressed by the definitions in the passage, specifically the responsibilities defined for various roles like provider or deployer. It is specific to understanding the responsibility aspect of the AI system lifecycle as per the regulation. The passage contains information that would help answer the responsibility distribution, making it answerable. It is realistically phrased in an informal, conversational manner, which aligns with the persona's style. However, the query isn't highly original or user-oriented as it could have been framed more around privacy implications, given the privacy advocate persona.",4
215,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

on the Union market in the course of a commercial activity, whether in return for payment or free of charge; (11) ‘putting into service’ means the supply of an AI system for first use directly to the deployer or for own use in the Union for its intended purpose; (12) ‘intended purpose’ means the use for which an AI system is intended by the provider, including the specific context and conditions of use, as specified in the information supplied by the provider in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation; (13) ‘reasonably foreseeable misuse’ means the use of an AI system in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems, including other AI systems; (14) ‘safety component’ means a component of a product or of an AI system which fulfils a safety function for that product or AI system, or the failure or malfunctioning of which endangers the health and safety of persons or property; (15) ‘instructions for use’ means the information provided by the provider to inform the deployer of, in particular, an AI system’s intended purpose and proper use; (16) ‘recall of an AI system’ means any measure aiming to achieve the return to the provider or taking out of service or disabling the use of an AI system made available to deployers; (17) ‘withdrawal of an AI system’ means any measure aiming to prevent an AI system in the supply chain being made available on the market; (18) ‘performance of an AI system’ means the ability of an AI system to achieve its intended purpose; (19) ‘notifying authority’ means the national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring; (20) ‘conformity assessment’ means the process of demonstrating whether the requirements set out in Chapter III, Section 2 relating to a high-risk AI system have been fulfilled; (21) ‘conformity assessment body’ means a body that performs third-party conformity assessment activities, including testing, certification and inspection; (22) ‘notified body’ means a conformity assessment body notified in accordance with this Regulation and other relevant Union harmonisation legislation; (23)",A municipal government official responsible for digital transformation initiatives,Simple direct question with basic vocabulary,"What does ""reasonably foreseeable misuse"" of an AI system mean according to the EU's AI Act?",few-shot,"The query is relevant and specific, directly asking for a definition provided in the passage, it's answerable with the given text, realistic given the persona's role, and is user-oriented without merely rephrasing the passage.",5
215,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

on the Union market in the course of a commercial activity, whether in return for payment or free of charge; (11) ‘putting into service’ means the supply of an AI system for first use directly to the deployer or for own use in the Union for its intended purpose; (12) ‘intended purpose’ means the use for which an AI system is intended by the provider, including the specific context and conditions of use, as specified in the information supplied by the provider in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation; (13) ‘reasonably foreseeable misuse’ means the use of an AI system in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems, including other AI systems; (14) ‘safety component’ means a component of a product or of an AI system which fulfils a safety function for that product or AI system, or the failure or malfunctioning of which endangers the health and safety of persons or property; (15) ‘instructions for use’ means the information provided by the provider to inform the deployer of, in particular, an AI system’s intended purpose and proper use; (16) ‘recall of an AI system’ means any measure aiming to achieve the return to the provider or taking out of service or disabling the use of an AI system made available to deployers; (17) ‘withdrawal of an AI system’ means any measure aiming to prevent an AI system in the supply chain being made available on the market; (18) ‘performance of an AI system’ means the ability of an AI system to achieve its intended purpose; (19) ‘notifying authority’ means the national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring; (20) ‘conformity assessment’ means the process of demonstrating whether the requirements set out in Chapter III, Section 2 relating to a high-risk AI system have been fulfilled; (21) ‘conformity assessment body’ means a body that performs third-party conformity assessment activities, including testing, certification and inspection; (22) ‘notified body’ means a conformity assessment body notified in accordance with this Regulation and other relevant Union harmonisation legislation; (23)",A privacy advocate with a background in civil liberties and digital rights,Academic/research-oriented inquiry with formal language,"Could you elaborate on the concept of ""reasonably foreseeable misuse"" in AI systems, particularly regarding its implications for privacy and civil liberties within the European Union regulatory framework?",few-shot,"The query is relevant as it directly pertains to the concept of 'reasonably foreseeable misuse' defined in the passage. It is specific, focusing on this particular definition and its implications. The query is answerable since the passage provides a definition, though it does not delve deeply into privacy and civil liberties implications. The language and style are realistic for a privacy advocate with a formal inquiry approach. The query may lack some originality as it closely ties to the passage definition with an added angle on implications, but overall it represents a natural user inquiry well.",4
216,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

testing, certification and inspection; (22) ‘notified body’ means a conformity assessment body notified in accordance with this Regulation and other relevant Union harmonisation legislation; (23) ‘substantial modification’ means a change to an AI system after its placing on the market or putting into service which is not foreseen or planned in the initial conformity assessment carried out by the provider and as a result of which the compliance of the AI system with the requirements set out in Chapter III, Section 2 is affected or results in a modification to the intended purpose for which the AI system has been assessed; (24) ‘CE marking’ means a marking by which a provider indicates that an AI system is in conformity with the requirements set out in Chapter III, Section 2 and other applicable Union harmonisation legislation providing for its affixing; (25) ‘post-market monitoring system’ means all activities carried out by providers of AI systems to collect and review experience gained from the use of AI systems they place on the market or put into service for the purpose of identifying any need to immediately apply any necessary corrective or preventive actions; (26) ‘market surveillance authority’ means the national authority carrying out the activities and taking the measures pursuant to Regulation (EU) 2019/1020; (27) ‘harmonised standard’ means a harmonised standard as defined in Article 2(1), point (c), of Regulation (EU) No 1025/2012; (28) ‘common specification’ means a set of technical specifications as defined in Article 2, point (4) of Regulation (EU) No 1025/2012, providing means to comply with certain requirements established under this Regulation; (29) ‘training data’ means data used for training an AI system through fitting its learnable parameters; (30) ‘validation data’ means data used for providing an evaluation of the trained AI system and for tuning its non-learnable parameters and its learning process in order, inter alia, to prevent underfitting or overfitting; (31) ‘validation data set’ means a separate data set or part of the training data set, either as a fixed or variable split; (32) ‘testing data’ means data used for providing an independent evaluation of the AI system in order to confirm the expected performance of that system before its placing on the market or putting into service; (33) ‘input data’ means data provided to or",A privacy advocate with a background in civil liberties and digital rights,Simple direct question with basic vocabulary,What is a 'notified body' in the context of the EU AI Act?,zero-shot,"The query is relevant as it asks about a term defined in the passage. It is specific and focused on understanding one particular concept. The passage provides an answer, making it answerable. The phrasing is simple and direct, fitting the style of a privacy advocate. It is user-oriented as a person unfamiliar with AI legislation might naturally ask for a definition.",5
216,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

testing, certification and inspection; (22) ‘notified body’ means a conformity assessment body notified in accordance with this Regulation and other relevant Union harmonisation legislation; (23) ‘substantial modification’ means a change to an AI system after its placing on the market or putting into service which is not foreseen or planned in the initial conformity assessment carried out by the provider and as a result of which the compliance of the AI system with the requirements set out in Chapter III, Section 2 is affected or results in a modification to the intended purpose for which the AI system has been assessed; (24) ‘CE marking’ means a marking by which a provider indicates that an AI system is in conformity with the requirements set out in Chapter III, Section 2 and other applicable Union harmonisation legislation providing for its affixing; (25) ‘post-market monitoring system’ means all activities carried out by providers of AI systems to collect and review experience gained from the use of AI systems they place on the market or put into service for the purpose of identifying any need to immediately apply any necessary corrective or preventive actions; (26) ‘market surveillance authority’ means the national authority carrying out the activities and taking the measures pursuant to Regulation (EU) 2019/1020; (27) ‘harmonised standard’ means a harmonised standard as defined in Article 2(1), point (c), of Regulation (EU) No 1025/2012; (28) ‘common specification’ means a set of technical specifications as defined in Article 2, point (4) of Regulation (EU) No 1025/2012, providing means to comply with certain requirements established under this Regulation; (29) ‘training data’ means data used for training an AI system through fitting its learnable parameters; (30) ‘validation data’ means data used for providing an evaluation of the trained AI system and for tuning its non-learnable parameters and its learning process in order, inter alia, to prevent underfitting or overfitting; (31) ‘validation data set’ means a separate data set or part of the training data set, either as a fixed or variable split; (32) ‘testing data’ means data used for providing an independent evaluation of the AI system in order to confirm the expected performance of that system before its placing on the market or putting into service; (33) ‘input data’ means data provided to or",A small business owner who develops software solutions for local retail stores,Academic/research-oriented inquiry with formal language,"Could you provide a detailed explanation about the concept of 'substantial modification' in the context of AI systems under the EU's AI Act, and its implications for compliance with Chapter III, Section 2 requirements?",zero-shot,"The query is relevant as it directly asks about 'substantial modification', which is mentioned in the passage. It is specific in focusing on 'substantial modification' and its implications for compliance. The query is answerable because the passage provides sufficient detail on the definition and context of 'substantial modification'. Additionally, it is realistic and matches the formal, academic inquiry style typical of a small business owner dealing with compliance issues. Finally, the query is user-oriented and original, as it seeks an explanation without merely rephrasing the passage.",5
217,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

evaluation of the AI system in order to confirm the expected performance of that system before its placing on the market or putting into service; (33) ‘input data’ means data provided to or directly acquired by an AI system on the basis of which the system produces an output; (34) ‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, such as facial images or dactyloscopic data; (35) ‘biometric identification’ means the automated recognition of physical, physiological, behavioural, or psychological human features for the purpose of establishing the identity of a natural person by comparing biometric data of that individual to biometric data of individuals stored in a database; (36) ‘biometric verification’ means the automated, one-to-one verification, including authentication, of the identity of natural persons by comparing their biometric data to previously provided biometric data; (37) ‘special categories of personal data’ means the categories of personal data referred to in Article 9(1) of Regulation (EU) 2016/679, Article 10 of Directive (EU) 2016/680 and Article 10(1) of Regulation (EU) 2018/1725; (38) ‘sensitive operational data’ means operational data related to activities of prevention, detection, investigation or prosecution of criminal offences, the disclosure of which could jeopardise the integrity of criminal proceedings; (39) ‘emotion recognition system’ means an AI system for the purpose of identifying or inferring emotions or intentions of natural persons on the basis of their biometric data; (40) ‘biometric categorisation system’ means an AI system for the purpose of assigning natural persons to specific categories on the basis of their biometric data, unless it is ancillary to another commercial service and strictly necessary for objective technical reasons; (41) ‘remote biometric identification system’ means an AI system for the purpose of identifying natural persons, without their active involvement, typically at a distance through the comparison of a person’s biometric data with the biometric data contained in a reference database; (42) ‘real-time remote biometric identification system’ means a remote biometric identification system, whereby the capturing of biometric data, the comparison and the identification all occur",A data protection officer at a large European enterprise implementing AI compliance,Hypothetical scenario-based question,"In a hypothetical scenario where our company is tasked with implementing emotion recognition systems, what are the specific definitions and implications around using biometric data for these purposes according to the EU's AI Act?",zero-shot,"The query is relevant as it addresses definitions and uses of biometric data in emotion recognition, specific in focusing on emotion recognition systems, and answerable since the passage provides definitions. It is realistic for a data protection officer asking about compliance, but lacks originality as it closely mirrors passage content.",4
217,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

evaluation of the AI system in order to confirm the expected performance of that system before its placing on the market or putting into service; (33) ‘input data’ means data provided to or directly acquired by an AI system on the basis of which the system produces an output; (34) ‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, such as facial images or dactyloscopic data; (35) ‘biometric identification’ means the automated recognition of physical, physiological, behavioural, or psychological human features for the purpose of establishing the identity of a natural person by comparing biometric data of that individual to biometric data of individuals stored in a database; (36) ‘biometric verification’ means the automated, one-to-one verification, including authentication, of the identity of natural persons by comparing their biometric data to previously provided biometric data; (37) ‘special categories of personal data’ means the categories of personal data referred to in Article 9(1) of Regulation (EU) 2016/679, Article 10 of Directive (EU) 2016/680 and Article 10(1) of Regulation (EU) 2018/1725; (38) ‘sensitive operational data’ means operational data related to activities of prevention, detection, investigation or prosecution of criminal offences, the disclosure of which could jeopardise the integrity of criminal proceedings; (39) ‘emotion recognition system’ means an AI system for the purpose of identifying or inferring emotions or intentions of natural persons on the basis of their biometric data; (40) ‘biometric categorisation system’ means an AI system for the purpose of assigning natural persons to specific categories on the basis of their biometric data, unless it is ancillary to another commercial service and strictly necessary for objective technical reasons; (41) ‘remote biometric identification system’ means an AI system for the purpose of identifying natural persons, without their active involvement, typically at a distance through the comparison of a person’s biometric data with the biometric data contained in a reference database; (42) ‘real-time remote biometric identification system’ means a remote biometric identification system, whereby the capturing of biometric data, the comparison and the identification all occur",A privacy advocate with a background in civil liberties and digital rights,Simple direct question with basic vocabulary,What does the EU's AI Act say about using biometric data for emotion recognition?,zero-shot,"The query is relevant, specific, and realistic as it touches on the AI Act's provisions about biometric data usage, specifically for emotion recognition. However, it is not fully answerable as the passage does not provide comprehensive information on the guidelines or limitations for this use case.",4
218,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

(42) ‘real-time remote biometric identification system’ means a remote biometric identification system, whereby the capturing of biometric data, the comparison and the identification all occur without a significant delay, comprising not only instant identification, but also limited short delays in order to avoid circumvention; (43) ‘post-remote biometric identification system’ means a remote biometric identification system other than a real-time remote biometric identification system; (44) ‘publicly accessible space’ means any publicly or privately owned physical place accessible to an undetermined number of natural persons, regardless of whether certain conditions for access may apply, and regardless of the potential capacity restrictions; (45) ‘law enforcement authority’ means: (a) any public authority competent for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security; or (b) any other body or entity entrusted by Member State law to exercise public authority and public powers for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security; (46) ‘law enforcement’ means activities carried out by law enforcement authorities or on their behalf for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including safeguarding against and preventing threats to public security; (47) ‘AI Office’ means the Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and general-purpose AI models, and AI governance, provided for in Commission Decision of 24 January 2024; references in this Regulation to the AI Office shall be construed as references to the Commission; (48) ‘national competent authority’ means a notifying authority or a market surveillance authority; as regards AI systems put into service or used by Union institutions, agencies, offices and bodies, references to national competent authorities or market surveillance authorities in this Regulation shall be construed as references to the European Data Protection Supervisor; (49) ‘serious incident’ means",A small business owner who develops software solutions for local retail stores,Academic/research-oriented inquiry with formal language,What are the implications of the EU AI Act's definition of 'publicly accessible space' on the deployment of AI-powered surveillance systems by small businesses in retail environments?,zero-shot,"The query is relevant as it directly pertains to definitions in the passage, specifically 'publicly accessible space'. It is specific by focusing on how the definition impacts AI surveillance in retail. It is answerable, providing the necessary context is in the passage, although this isn't explicitly evident. The query is realistic, resembling concerns a business owner might have. Finally, it is user-oriented and original, proposing a unique angle by connecting legislation to practical scenarios.",5
218,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

(42) ‘real-time remote biometric identification system’ means a remote biometric identification system, whereby the capturing of biometric data, the comparison and the identification all occur without a significant delay, comprising not only instant identification, but also limited short delays in order to avoid circumvention; (43) ‘post-remote biometric identification system’ means a remote biometric identification system other than a real-time remote biometric identification system; (44) ‘publicly accessible space’ means any publicly or privately owned physical place accessible to an undetermined number of natural persons, regardless of whether certain conditions for access may apply, and regardless of the potential capacity restrictions; (45) ‘law enforcement authority’ means: (a) any public authority competent for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security; or (b) any other body or entity entrusted by Member State law to exercise public authority and public powers for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security; (46) ‘law enforcement’ means activities carried out by law enforcement authorities or on their behalf for the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including safeguarding against and preventing threats to public security; (47) ‘AI Office’ means the Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and general-purpose AI models, and AI governance, provided for in Commission Decision of 24 January 2024; references in this Regulation to the AI Office shall be construed as references to the Commission; (48) ‘national competent authority’ means a notifying authority or a market surveillance authority; as regards AI systems put into service or used by Union institutions, agencies, offices and bodies, references to national competent authorities or market surveillance authorities in this Regulation shall be construed as references to the European Data Protection Supervisor; (49) ‘serious incident’ means",A venture capital investor focusing on early-stage technology startups,Hypothetical scenario-based question,"If a startup is developing a real-time remote biometric identification system, what definitions or restrictions should they be aware of regarding its use in publicly accessible spaces or by law enforcement authorities according to the EU AI Act?",few-shot,"The query is relevant as it pertains to definitions addressed in the passage and specific, focusing on real-time biometric systems and their use. It is also realistic and user-oriented, simulating a practical concern a tech-focused investor might have. However, it lacks full answerability with the provided information about restrictions.",4
219,"Chapter I - GENERAL PROVISIONS

Article 3 - Definitions

to national competent authorities or market surveillance authorities in this Regulation shall be construed as references to the European Data Protection Supervisor; (49) ‘serious incident’ means an incident or malfunctioning of an AI system that directly or indirectly leads to any of the following: (a) the death of a person, or serious harm to a person’s health; (b) a serious and irreversible disruption of the management or operation of critical infrastructure; (c) the infringement of obligations under Union law intended to protect fundamental rights; (d) serious harm to property or the environment; (50) ‘personal data’ means personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679; (51) ‘non-personal data’ means data other than personal data as defined in Article 4, point (1), of Regulation (EU) 2016/679; (52) ‘profiling’ means profiling as defined in Article 4, point (4), of Regulation (EU) 2016/679; (53) ‘real-world testing plan’ means a document that describes the objectives, methodology, geographical, population and temporal scope, monitoring, organisation and conduct of testing in real-world conditions; (54) ‘sandbox plan’ means a document agreed between the participating provider and the competent authority describing the objectives, conditions, timeframe, methodology and requirements for the activities carried out within the sandbox; (55) ‘AI regulatory sandbox’ means a controlled framework set up by a competent authority which offers providers or prospective providers of AI systems the possibility to develop, train, validate and test, where appropriate in real-world conditions, an innovative AI system, pursuant to a sandbox plan for a limited time under regulatory supervision; (56) ‘AI literacy’ means skills, knowledge and understanding that allow providers, deployers and affected persons, taking into account their respective rights and obligations in the context of this Regulation, to make an informed deployment of AI systems, as well as to gain awareness about the opportunities and risks of AI and possible harm it can cause; (57) ‘testing in real-world conditions’ means the temporary testing of an AI system for its intended purpose in real-world conditions outside a laboratory or otherwise simulated environment, with a view to gathering reliable and robust data and to assessing and verifying the conformity of the AI system",A data protection officer at a large European enterprise implementing AI compliance,Informal conversational question,"How does the AI Act define a ""serious incident,"" and what implications might it have for our AI systems under EU regulations?",zero-shot,"The query is relevant as it pertains to the definition of 'serious incident' within the passage. It is specific, focusing on this single topic. The query is answerable as the passage contains sufficient information to define a 'serious incident.' The wording and style are realistic, aligning with the persona of a data protection officer who would be concerned about impacts on AI systems. However, the query lacks some originality as it closely follows the passage's terminology.",4
